NO;PENGUASAAN TANAH;PEMILIKAN TANAH;PENGGUNAAN TANAH;PEMANFAATAN TANAH;POTENSI TOL;Luas  m2
205;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;720
206;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;621
207;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;401
208;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;368
209;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;196
210;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;158
211;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;176
212;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;152
213;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;140
214;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;180
215;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;161
216;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;137
217;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;223
218;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;284
219;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;169
220;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;148
221;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;278
222;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;164
223;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;181
224;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;145
225;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;183
226;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;117
227;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;133
228;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;269
229;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;248
230;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;145
231;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;69
232;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;123
233;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;39
234;Fasos Fasum;Tidak terdaftar (dalam areal penyisihan HGU Lama);Pangkalan Ojek;Tempat Usaha;Legalisasi aset;40
235;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;61
236;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;251
237;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;166
238;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;177
239;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;333
240;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;170
241;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;407
242;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;230
243;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;225
244;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;140
245;Fasos Fasum;Tidak terdaftar (dalam areal penyisihan HGU Lama);Mushola;Sarana Ibadah;Legalisasi aset;332
246;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;313
247;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;205
248;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;158
249;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;255
250;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;347
251;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;530
252;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;273
253;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;95
254;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;136
255;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;335
256;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;146
257;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;95
258;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;135
259;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;137
260;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;102
261;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;126
262;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;287
263;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;298
264;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;110
265;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;221
266;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;144
267;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;224
268;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;202
269;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;150
270;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;123
271;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;188
272;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;238
273;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;174
274;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;133
275;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;92
276;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;120
277;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;139
278;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;182
279;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;173
280;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;148
281;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;158
282;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;120
283;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;151
284;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;24
285;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;161
286;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;143
287;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;42
288;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;182
289;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;106
290;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;165
291;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;78
292;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;161
293;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;87
294;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;111
295;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;49
296;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;81
297;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;112
298;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;150
299;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;146
300;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;134
301;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;172
302;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;192
303;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;140
304;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;146
305;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;144
306;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;38
307;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;101
308;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;187
309;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;193
310;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;143
311;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;143
312;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;138
313;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;142
314;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;155
315;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;933
316;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;369
317;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;217
318;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;188
319;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;145
320;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;136
321;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;151
322;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;157
323;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;146
324;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;174
325;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;155
326;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;299
327;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;281
328;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;137
329;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;218
330;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;228
331;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
332;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;301
333;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;582
334;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;702
335;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;768
336;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;280
337;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;169
338;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;319
339;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;225
340;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;171
341;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;189
342;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;215
343;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;311
344;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;358
345;Fasos Fasum;Tidak terdaftar (dalam areal penyisihan HGU Lama);Mushola;Sarana Ibadah;Legalisasi aset;69
346;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;242
347;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;100
348;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;184
349;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;145
350;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;119
351;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;193
352;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;198
353;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;183
354;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;122
355;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;175
356;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;185
357;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;103
358;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;112
359;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;223
360;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;162
361;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;232
362;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;99
363;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;143
364;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;203
365;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;149
366;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;310
367;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;177
368;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;131
369;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;63
370;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;100
371;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;226
372;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;145
373;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;170
374;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;145
375;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;190
376;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;179
377;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;1.065
378;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;310
379;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;133
380;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;190
381;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;255
382;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;192
383;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;618
384;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;142
385;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;509
386;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;140
387;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;214
388;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;187
389;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;226
390;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;212
391;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;244
392;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;184
393;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;210
394;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;155
395;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;193
396;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;148
397;Aset Desa;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;2.095
398;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;205
399;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
400;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;125
401;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;159
402;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;144
403;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;140
404;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;144
405;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;248
406;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;176
407;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;191
408;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;188
409;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;189
410;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;179
411;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;181
412;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;150
413;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;172
414;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;166
415;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;121
416;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;126
417;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;107
418;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;144
419;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;148
420;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;155
421;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;175
422;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;172
423;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;161
424;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;166
425;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;175
426;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;177
427;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;192
428;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;247
429;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;175
430;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;705
431;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;130
432;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;119
433;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;94
434;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;107
435;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;79
